country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","18-04-2026 22:00:00",25.592539,85.227158,OZONE,20,92,70
India,Bihar,Patna,"Muradpur, Patna - BSPCB","18-04-2026 22:00:00",25.619651,85.147382,PM10,96,258,127
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","18-04-2026 22:00:00",25.599486,85.113666,PM2.5,53,95,65
India,Bihar,Patna,"Samanpura, Patna - BSPCB","18-04-2026 22:00:00",25.596727,85.085624,PM10,76,187,101
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","18-04-2026 22:00:00",21.371751,81.664929,SO2,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-04-2026 22:00:00",28.815329,77.153010,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-04-2026 22:00:00",28.815329,77.153010,SO2,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","18-04-2026 22:00:00",28.647622,77.3158090,OZONE,1,500,500
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","18-04-2026 22:00:00",28.695381,77.181665,OZONE,3,78,40
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","18-04-2026 22:00:00",25.03280,85.41948,SO2,2,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","18-04-2026 22:00:00",25.892357,86.590325,NO2,5,8,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","18-04-2026 22:00:00",25.892357,86.590325,SO2,13,17,16
